studyName,Sample Number,Species,Sample ID,Region,Island,Individual ID,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Comments
PAL0708,1,Adelie,A_1,Anvers,Torgersen,N1A1,39.1,18.7,181.0,3750.0,Not enough blood for isotopes.
PAL0708,2,Adelie,A_2,Anvers,Torgersen,N1A2,39.5,17.4,186.0,3800.0,
PAL0708,3,Adelie,A_3,Anvers,Torgersen,N2A1,40.3,18.0,195.0,3250.0,
PAL0708,4,Adelie,A_4,Anvers,Torgersen,N2A2,,,,,Adult not sampled.
PAL0708,5,Adelie,A_5,Anvers,Torgersen,N3A1,36.7,19.3,193.0,3450.0,
PAL0708,6,Adelie,A_6,Anvers,Torgersen,N3A2,39.3,20.6,190.0,3650.0,
PAL0708,7,Adelie,A_7,Anvers,Torgersen,N4A1,38.9,17.8,181.0,3625.0,Nest never observed with full clutch.
PAL0708,8,Adelie,A_8,Anvers,Torgersen,N4A2,39.2,19.6,195.0,4675.0,Nest never observed with full clutch.
PAL0708,9,Adelie,A_9,Anvers,Torgersen,N5A1,34.1,18.1,193.0,3475.0,No blood sample obtained.
PAL0708,10,Adelie,A_10,Anvers,Torgersen,N5A2,42.0,20.2,190.0,4250.0,No blood sample obtained for sexing.
PAL0708,11,Adelie,A_11,Anvers,Torgersen,N6A1,37.8,17.1,186.0,3300.0,No blood sample obtained for sexing.
PAL0708,12,Adelie,A_12,Anvers,Torgersen,N6A2,37.8,17.3,180.0,3700.0,No blood sample obtained.
PAL0708,13,Adelie,A_13,Anvers,Torgersen,N7A1,41.1,17.6,182.0,3200.0,Not enough blood for isotopes.
PAL0708,14,Adelie,A_14,Anvers,Torgersen,N7A2,38.6,21.2,191.0,3800.0,Not enough blood for isotopes.
PAL0708,15,Adelie,A_15,Anvers,Torgersen,N8A1,34.6,21.1,198.0,4400.0,
PAL0708,16,Adelie,A_16,Anvers,Torgersen,N8A2,36.6,17.8,185.0,3700.0,Not enough blood for isotopes.
PAL0708,17,Adelie,A_17,Anvers,Torgersen,N9A1,38.7,19.0,195.0,3450.0,
PAL0708,18,Adelie,A_18,Anvers,Torgersen,N9A2,42.5,20.7,197.0,4500.0,
PAL0708,19,Adelie,A_19,Anvers,Torgersen,N10A1,34.4,18.4,184.0,3325.0,
