studyName,Sample Number,Species,Sample ID,Region,Island,Individual ID,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Comments
PAL0708,1,Gentoo,G_1,Anvers,Biscoe,N31A1,46.1,13.2,211.0,4500.0,
PAL0708,2,Gentoo,G_2,Anvers,Biscoe,N31A2,50.0,16.3,230.0,5700.0,
PAL0708,3,Gentoo,G_3,Anvers,Biscoe,N32A1,48.7,14.1,210.0,4450.0,
PAL0708,4,Gentoo,G_4,Anvers,Biscoe,N32A2,50.0,15.2,218.0,5700.0,
PAL0708,5,Gentoo,G_5,Anvers,Biscoe,N33A1,47.6,14.5,215.0,5400.0,
PAL0708,6,Gentoo,G_6,Anvers,Biscoe,N33A2,46.5,13.5,210.0,4550.0,
PAL0708,7,Gentoo,G_7,Anvers,Biscoe,N34A1,45.4,14.6,211.0,4800.0,
PAL0708,8,Gentoo,G_8,Anvers,Biscoe,N34A2,46.7,15.3,219.0,5200.0,
PAL0708,9,Gentoo,G_9,Anvers,Biscoe,N35A1,43.3,13.4,209.0,4400.0,
PAL0708,10,Gentoo,G_10,Anvers,Biscoe,N35A2,46.8,15.4,215.0,5150.0,
PAL0708,11,Gentoo,G_11,Anvers,Biscoe,N36A1,40.9,13.7,214.0,4650.0,
PAL0708,12,Gentoo,G_12,Anvers,Biscoe,N36A2,49.0,16.1,216.0,5550.0,
PAL0708,13,Gentoo,G_13,Anvers,Biscoe,N37A1,45.5,13.7,214.0,4650.0,
PAL0708,14,Gentoo,G_14,Anvers,Biscoe,N37A2,48.4,14.6,213.0,5850.0,
PAL0708,15,Gentoo,G_15,Anvers,Biscoe,N38A1,45.8,14.6,210.0,4200.0,
PAL0708,16,Gentoo,G_16,Anvers,Biscoe,N38A2,49.3,15.7,217.0,5850.0,
PAL0708,17,Gentoo,G_17,Anvers,Biscoe,N39A1,42.0,13.5,210.0,4150.0,
PAL0708,18,Gentoo,G_18,Anvers,Biscoe,N39A2,49.2,15.2,221.0,6300.0,
PAL0708,19,Gentoo,G_19,Anvers,Biscoe,N40A1,46.2,14.5,209.0,4800.0,
PAL0708,20,Gentoo,G_20,Anvers,Biscoe,N40A2,48.7,15.1,222.0,5350.0,
PAL0708,21,Gentoo,G_21,Anvers,Biscoe,N41A1,50.2,14.3,218.0,5700.0,
PAL0708,22,Gentoo,G_22,Anvers,Biscoe,N41A2,45.1,14.5,215.0,5000.0,
PAL0708,23,Gentoo,G_23,Anvers,Biscoe,N42A1,46.5,14.5,213.0,4400.0,
PAL0708,24,Gentoo,G_24,Anvers,Biscoe,N42A2,46.3,15.8,215.0,5050.0,
PAL0708,25,Gentoo,G_25,Anvers,Biscoe,N44A1,42.9,13.1,215.0,5000.0,
PAL0708,26,Gentoo,G_26,Anvers,Biscoe,N44A2,46.1,15.1,215.0,5100.0,
PAL0708,27,Gentoo,G_27,Anvers,Biscoe,N46A1,44.5,14.3,216.0,4100.0,
PAL0708,28,Gentoo,G_28,Anvers,Biscoe,N46A2,47.8,15.0,215.0,5650.0,
