Sex,Sample Number,Species
MALE,1,Adelie
FEMALE,2,Adelie
FEMALE,3,Adelie
,4,Adelie
FEMALE,5,Adelie
MALE,6,Adelie
FEMALE,7,Adelie
MALE,8,Adelie
,9,Adelie
,10,Adelie
,11,Adelie
,12,Adelie
FEMALE,13,Adelie
MALE,14,Adelie
MALE,15,Adelie
FEMALE,16,Adelie
FEMALE,17,Adelie
MALE,18,Adelie
FEMALE,19,Adelie
MALE,20,Adelie
FEMALE,21,Adelie
MALE,22,Adelie
FEMALE,23,Adelie
MALE,24,Adelie
MALE,25,Adelie
FEMALE,26,Adelie
MALE,27,Adelie
FEMALE,28,Adelie
FEMALE,29,Adelie
MALE,30,Adelie
FEMALE,31,Adelie
MALE,32,Adelie
FEMALE,33,Adelie
MALE,34,Adelie
FEMALE,35,Adelie
MALE,36,Adelie
MALE,37,Adelie
FEMALE,38,Adelie
FEMALE,39,Adelie
MALE,40,Adelie
FEMALE,41,Adelie
MALE,42,Adelie
FEMALE,43,Adelie
MALE,44,Adelie
FEMALE,45,Adelie
MALE,46,Adelie
MALE,47,Adelie
,48,Adelie
FEMALE,49,Adelie
MALE,50,Adelie
FEMALE,51,Adelie
MALE,52,Adelie
FEMALE,53,Adelie
MALE,54,Adelie
FEMALE,55,Adelie
MALE,56,Adelie
FEMALE,57,Adelie
MALE,58,Adelie
FEMALE,59,Adelie
MALE,60,Adelie
FEMALE,61,Adelie
MALE,62,Adelie
FEMALE,63,Adelie
MALE,64,Adelie
FEMALE,65,Adelie
MALE,66,Adelie
FEMALE,67,Adelie
MALE,68,Adelie
FEMALE,69,Adelie
MALE,70,Adelie
FEMALE,71,Adelie
MALE,72,Adelie
FEMALE,73,Adelie
MALE,74,Adelie
FEMALE,75,Adelie
MALE,76,Adelie
FEMALE,77,Adelie
MALE,78,Adelie
FEMALE,79,Adelie
MALE,80,Adelie
FEMALE,81,Adelie
MALE,82,Adelie
FEMALE,83,Adelie
MALE,84,Adelie
FEMALE,85,Adelie
MALE,86,Adelie
MALE,87,Adelie
FEMALE,88,Adelie
MALE,89,Adelie
FEMALE,90,Adelie
FEMALE,91,Adelie
MALE,92,Adelie
FEMALE,93,Adelie
MALE,94,Adelie
FEMALE,95,Adelie
MALE,96,Adelie
FEMALE,97,Adelie
MALE,98,Adelie
FEMALE,99,Adelie
MALE,100,Adelie
FEMALE,101,Adelie
MALE,102,Adelie
FEMALE,103,Adelie
MALE,104,Adelie
FEMALE,105,Adelie
MALE,106,Adelie
FEMALE,107,Adelie
MALE,108,Adelie
FEMALE,109,Adelie
MALE,110,Adelie
FEMALE,111,Adelie
MALE,112,Adelie
FEMALE,113,Adelie
MALE,114,Adelie
FEMALE,115,Adelie
MALE,116,Adelie
FEMALE,117,Adelie
MALE,118,Adelie
FEMALE,119,Adelie
MALE,120,Adelie
FEMALE,121,Adelie
MALE,122,Adelie
FEMALE,123,Adelie
MALE,124,Adelie
FEMALE,125,Adelie
MALE,126,Adelie
FEMALE,127,Adelie
MALE,128,Adelie
FEMALE,129,Adelie
MALE,130,Adelie
FEMALE,131,Adelie
MALE,132,Adelie
FEMALE,133,Adelie
MALE,134,Adelie
FEMALE,135,Adelie
MALE,136,Adelie
FEMALE,137,Adelie
MALE,138,Adelie
FEMALE,139,Adelie
MALE,140,Adelie
FEMALE,141,Adelie
MALE,142,Adelie
FEMALE,143,Adelie
MALE,144,Adelie
FEMALE,145,Adelie
MALE,146,Adelie
MALE,147,Adelie
FEMALE,148,Adelie
FEMALE,149,Adelie
MALE,150,Adelie
FEMALE,151,Adelie
MALE,152,Adelie
FEMALE,1,Chinstrap
MALE,2,Chinstrap
MALE,3,Chinstrap
FEMALE,4,Chinstrap
MALE,5,Chinstrap
FEMALE,6,Chinstrap
FEMALE,7,Chinstrap
MALE,8,Chinstrap
FEMALE,9,Chinstrap
MALE,10,Chinstrap
FEMALE,11,Chinstrap
MALE,12,Chinstrap
FEMALE,13,Chinstrap
MALE,14,Chinstrap
FEMALE,15,Chinstrap
MALE,16,Chinstrap
MALE,17,Chinstrap
FEMALE,18,Chinstrap
FEMALE,19,Chinstrap
MALE,20,Chinstrap
FEMALE,21,Chinstrap
MALE,22,Chinstrap
FEMALE,23,Chinstrap
MALE,24,Chinstrap
FEMALE,25,Chinstrap
MALE,26,Chinstrap
FEMALE,27,Chinstrap
MALE,28,Chinstrap
FEMALE,29,Chinstrap
MALE,30,Chinstrap
FEMALE,31,Chinstrap
MALE,32,Chinstrap
FEMALE,33,Chinstrap
MALE,34,Chinstrap
MALE,35,Chinstrap
FEMALE,36,Chinstrap
FEMALE,37,Chinstrap
MALE,38,Chinstrap
